32	2	6	156
32	2	7	175.2
33	1	5	206
33	1	6	234
33	1	7	256
33	2	5	164.8
33	2	6	187.2
33	2	7	204.8
34	1	5	190
34	1	6	219
34	1	7	242
34	2	5	152
34	2	6	175.2
34	2	7	193.6
35	1	5	184
35	1	6	213
35	1	7	236
35	2	5	147.2
35	2	6	170.4
35	2	7	188.8
36	1	5	165
36	1	6	195
36	1	7	219
36	2	5	132
36	2	6	156
36	2	7	175.2
37	1	5	201
37	1	6	229
37	1	7	252
37	2	5	160.8
37	2	6	183.2
37	2	7	201.6
38	1	5	165
38	1	6	195
38	1	7	219
38	2	5	132
38	2	6	156
38	2	7	175.2
39	1	5	172
39	1	6	201
39	1	7	225
39	2	5	137.6
39	2	6	160.8
39	2	7	180
40	1	5	184
40	1	6	213
40	1	7	236
40	2	5	147.2
40	2	6	170.4
40	2	7	188.8
41	1	5	151
41	1	6	181
41	1	7	205
41	2	5	120.8
41	2	6	144.8
41	2	7	164
42	1	5	158
42	1	6	188
42	1	7	212
42	2	5	126.4
42	2	6	150.4
42	2	7	169.6
43	1	5	178
43	1	6	207
43	1	7	231
43	2	5	142.4
43	2	6	165.6
43	2	7	184.8
44	1	5	184
44	1	6	213
44	1	7	236
44	2	5	147.2
44	2	6	170.4
44	2	7	188.8
45	1	5	190
45	1	6	219
45	1	7	242
45	2	5	152
45	2	6	175.2
45	2	7	193.6
46	1	5	196
46	1	6	224
46	1	7	247
46	2	5	156.8
46	2	6	179.2
46	2	7	197.6
47	1	5	201
47	1	6	229
47	1	7	252
47	2	5	160.8
47	2	6	183.2
47	2	7	201.6
48	1	5	201
48	1	6	229
48	1	7	252
48	2	5	160.8
48	2	6	183.2
48	2	7	201.6
49	1	5	184
49	1	6	213
49	1	7	236
49	2	5	147.2
49	2	6	170.4
49	2	7	188.8
50	1	5	165
50	1	6	195
50	1	7	219
50	2	5	132
50	2	6	156
50	2	7	175.2
51	1	5	206
51	1	6	234
51	1	7	256
51	2	5	164.8
51	2	6	187.2
51	2	7	204.8
52	1	5	172
52	1	6	201
52	1	7	225
52	2	5	137.6
52	2	6	160.8
52	2	7	180
53	1	5	165
53	1	6	195
53	1	7	219
53	2	5	132
53	2	6	156
53	2	7	175.2
54	1	5	201
54	1	6	229
54	1	7	252
54	2	5	160.8
54	2	6	183.2
54	2	7	201.6
55	1	5	190
55	1	6	219
55	1	7	242
55	2	5	152
55	2	6	175.2
55	2	7	193.6
56	1	5	172
56	1	6	201
56	1	7	225
56	2	5	137.6
56	2	6	160.8
56	2	7	180
57	1	5	151
57	1	6	181
57	1	7	205
57	2	5	120.8
57	2	6	144.8
57	2	7	164
58	1	5	196
58	1	6	224
58	1	7	247
58	2	5	156.8
58	2	6	179.2
58	2	7	197.6
59	1	5	151
59	1	6	181
59	1	7	205
59	2	5	120.8
59	2	6	144.8
59	2	7	164
60	1	5	165
60	1	6	195
60	1	7	219
60	2	5	132
60	2	6	156
60	2	7	175.2
61	1	5	190
61	1	6	219
61	1	7	242
61	2	5	152
61	2	6	175.2
61	2	7	193.6
62	1	5	201
62	1	6	229
62	1	7	252
62	2	5	160.8
62	2	6	183.2
62	2	7	201.6
63	1	5	151
63	1	6	181
63	1	7	205
63	2	5	120.8
63	2	6	144.8
63	2	7	164
64	1	5	206
64	1	6	234
64	1	7	256
64	2	5	164.8
64	2	6	187.2
64	2	7	204.8
65	1	5	190
65	1	6	219
65	1	7	242
65	2	5	152
65	2	6	175.2
65	2	7	193.6
66	1	5	172
66	1	6	201
66	1	7	225
66	2	5	137.6
66	2	6	160.8
66	2	7	180
67	1	5	190
67	1	6	219
67	1	7	242
67	2	5	152
67	2	6	175.2
67	2	7	193.6
68	1	5	201
68	1	6	229
68	1	7	252
68	2	5	160.8
68	2	6	183.2
68	2	7	201.6
69	1	5	190
69	1	6	219
69	1	7	242
69	2	5	152
69	2	6	175.2
69	2	7	193.6
70	1	5	172
70	1	6	201
70	1	7	225
70	2	5	137.6
70	2	6	160.8
70	2	7	180
71	1	5	165
71	1	6	195
71	1	7	219
71	2	5	132
71	2	6	156
71	2	7	175.2
72	1	5	206
72	1	6	234
72	1	7	256
72	2	5	164.8
72	2	6	187.2
72	2	7	204.8
73	1	5	206
73	1	6	234
73	1	7	256
73	2	5	164.8
73	2	6	187.2
73	2	7	204.8
74	1	5	178
74	1	6	207
74	1	7	231
74	2	5	142.4
74	2	6	165.6
